game_id;date;home_club_id;away_club_id;home_club_manager_name;away_club_manager_name;stadium;attendance;referee;home_club_name;away_club_name;Results
4094730;20/12/2023;3911;1158;Éric Roy;Régis Le Bris;Stade Francis-Le Blé;14544.0;Mickaël Leleu;Stade brestois 29;Football Club Lorient-Bretagne Sud;1
4094725;20/12/2023;1041;995;Pierre Sage;Jocelyn Gourvennec;Groupama Stadium;40028.0;Benoît Bastien;Olympique Lyonnais;Football Club de Nantes;1
4094729;20/12/2023;969;244;Michel Der Zakarian;Gennaro Gattuso;Stade de la Mosson;18565.0;Thomas Léonard;Montpellier Hérault Sport Club;Olympique de Marseille;0
4094732;12/01/2024;244;667;Gennaro Gattuso;Patrick Vieira;Orange Vélodrome;53616.0;Marc Bollengier;Olympique de Marseille;Racing Club de Strasbourg Alsace;0
4094731;13/01/2024;273;417;Julien Stéphan;Francesco Farioli;Roazhon Park;26680.0;Bastien Dechepy;Stade Rennais Football Club;Olympique Gymnaste Club Nice Côte d'Azur;1
4094733;13/01/2024;162;1421;Adi Hütter;Will Still;Stade Louis-II;4231.0;François Letexier;Association sportive de Monaco Football Club;Stade de Reims;-1
4094734;14/01/2024;1082;1158;Paulo Fonseca;Régis Le Bris;Decathlon Arena-Stade Pierre-Mauroy;35204.0;Pierre Gaillouste;Lille Olympique Sporting Club Lille Métropole;Football Club Lorient-Bretagne Sud;1
4094739;14/01/2024;3911;969;Éric Roy;Michel Der Zakarian;Stade Francis-Le Blé;12712.0;Jérémie Pignard;Stade brestois 29;Montpellier Hérault Sport Club;1
4094738;14/01/2024;347;415;László Bölöni;Carles Martínez;Stade Saint-Symphorien;21065.0;Florent Batta;Football Club de Metz;Toulouse Football Club;-1
4094737;14/01/2024;738;1041;Luka Elsner;Pierre Sage;Stade Océane;23146.0;Gaël Angoula;Le Havre Athletic Club;Olympique Lyonnais;1
4094735;14/01/2024;826;583;Franck Haise;Luis Enrique;Stade Bollaert-Delelis;38200.0;Jérôme Brisard;Racing Club de Lens;Paris Saint-Germain Football Club;-1
4094736;14/01/2024;995;3524;Jocelyn Gourvennec;Pascal Gastien;Stade de la Beaujoire;20866.0;Romain Lissorgue;Football Club de Nantes;Clermont Foot 63;-1
4094744;26/01/2024;1041;273;Pierre Sage;Julien Stéphan;Groupama Stadium;40516.0;Thomas Léonard;Olympique Lyonnais;Stade Rennais Football Club;-1
4094745;27/01/2024;417;347;Francesco Farioli;László Bölöni;Allianz Riviera;20137.0;Stéphanie Frappart;Olympique Gymnaste Club Nice Côte d'Azur;Football Club de Metz;1
4094742;27/01/2024;244;162;Gennaro Gattuso;Adi Hütter;Orange Vélodrome;63029.0;Willy Delajod;Olympique de Marseille;Association sportive de Monaco Football Club;0
4094747;28/01/2024;1421;995;Will Still;Jocelyn Gourvennec;Stade Auguste-Delaune;14388.0;Jérémie Pignard;Stade de Reims;Football Club de Nantes;0
4094746;28/01/2024;3524;667;Pascal Gastien;Patrick Vieira;Stade Gabriel-Montpied;9047.0;Benoît Millot;Clermont Foot 63;Racing Club de Strasbourg Alsace;0
4094740;28/01/2024;583;3911;Luis Enrique;Éric Roy;Parc des Princes;46905.0;Clément Turpin;Paris Saint-Germain Football Club;Stade brestois 29;0
4094741;28/01/2024;415;826;Carles Martínez;Franck Haise;Stadium Municipal;27310.0;Mathieu Vernice;Toulouse Football Club;Racing Club de Lens;-1
4094748;28/01/2024;969;1082;Michel Der Zakarian;Paulo Fonseca;Stade de la Mosson;12575.0;Hakim Ben El Hadj;Montpellier Hérault Sport Club;Lille Olympique Sporting Club Lille Métropole;0
4094743;28/01/2024;1158;738;Régis Le Bris;Luka Elsner;Stade du Moustoir;15207.0;Jérémy Stinat;Football Club Lorient-Bretagne Sud;Le Havre Athletic Club;0
4094749;02/02/2024;667;583;Patrick Vieira;Luis Enrique;Stade de la Meinau;25834.0;Ruddy Buquet;Racing Club de Strasbourg Alsace;Paris Saint-Germain Football Club;-1
4094750;03/02/2024;273;969;Julien Stéphan;Michel Der Zakarian;Roazhon Park;24898.0;Mathieu Vernice;Stade Rennais Football Club;Montpellier Hérault Sport Club;1
4094755;03/02/2024;995;826;Jocelyn Gourvennec;Franck Haise;Stade de la Beaujoire;34167.0;Florent Batta;Football Club de Nantes;Racing Club de Lens;-1
4094752;04/02/2024;1082;3524;Paulo Fonseca;Pascal Gastien;Decathlon Arena-Stade Pierre-Mauroy;38597.0;Bastien Dechepy;Lille Olympique Sporting Club Lille Métropole;Clermont Foot 63;1
4094754;04/02/2024;1421;415;Will Still;Carles Martínez;Stade Auguste-Delaune;12817.0;Pierre Gaillouste;Stade de Reims;Toulouse Football Club;-1
4094756;04/02/2024;347;1158;László Bölöni;Régis Le Bris;Stade Saint-Symphorien;21044.0;Romain Lissorgue;Football Club de Metz;Football Club Lorient-Bretagne Sud;-1
4094757;04/02/2024;3911;417;Éric Roy;Francesco Farioli;Stade Francis-Le Blé;13442.0;Jérémy Stinat;Stade brestois 29;Olympique Gymnaste Club Nice Côte d'Azur;0
4094753;04/02/2024;1041;244;Pierre Sage;Gennaro Gattuso;Groupama Stadium;46380.0;Benoît Bastien;Olympique Lyonnais;Olympique de Marseille;1
4094751;04/02/2024;162;738;Adi Hütter;Luka Elsner;Stade Louis-II;5962.0;Jérôme Brisard;Association sportive de Monaco Football Club;Le Havre Athletic Club;0
4094760;09/02/2024;244;347;Gennaro Gattuso;László Bölöni;Orange Vélodrome;62686.0;Hakim Ben El Hadj;Olympique de Marseille;Football Club de Metz;0
4094758;10/02/2024;583;1082;Luis Enrique;Paulo Fonseca;Parc des Princes;47716.0;François Letexier;Paris Saint-Germain Football Club;Lille Olympique Sporting Club Lille Métropole;1
4094764;10/02/2024;826;667;Franck Haise;Patrick Vieira;Stade Bollaert-Delelis;38161.0;Willy Delajod;Racing Club de Lens;Racing Club de Strasbourg Alsace;1
4094766;11/02/2024;969;1041;Michel Der Zakarian;Pierre Sage;Stade de la Mosson;15519.0;Pierre Gaillouste;Montpellier Hérault Sport Club;Olympique Lyonnais;-1
4094763;11/02/2024;3524;3911;Pascal Gastien;Éric Roy;Stade Gabriel-Montpied;8893.0;Stéphanie Frappart;Clermont Foot 63;Stade brestois 29;0
4094759;11/02/2024;415;995;Carles Martínez;Jocelyn Gourvennec;Stadium Municipal;28933.0;Gaël Angoula;Toulouse Football Club;Football Club de Nantes;-1
4094762;11/02/2024;417;162;Francesco Farioli;Adi Hütter;Allianz Riviera;24788.0;Eric Wattellier;Olympique Gymnaste Club Nice Côte d'Azur;Association sportive de Monaco Football Club;-1
4094761;11/02/2024;1158;1421;Régis Le Bris;Will Still;Stade du Moustoir;15096.0;Marc Bollengier;Football Club Lorient-Bretagne Sud;Stade de Reims;1
4094765;11/02/2024;738;273;Luka Elsner;Julien Stéphan;Stade Océane;22702.0;Benoît Millot;Le Havre Athletic Club;Stade Rennais Football Club;-1
4094771;16/02/2024;1041;417;Pierre Sage;Francesco Farioli;Groupama Stadium;48033.0;Clément Turpin;Olympique Lyonnais;Olympique Gymnaste Club Nice Côte d'Azur;1
4094773;17/02/2024;995;583;Jocelyn Gourvennec;Luis Enrique;Stade de la Beaujoire;34038.0;Jérôme Brisard;Football Club de Nantes;Paris Saint-Germain Football Club;-1
4094770;17/02/2024;1082;738;Paulo Fonseca;Luka Elsner;Decathlon Arena-Stade Pierre-Mauroy;40317.0;Jérémie Pignard;Lille Olympique Sporting Club Lille Métropole;Le Havre Athletic Club;1
4094774;18/02/2024;969;347;Michel Der Zakarian;László Bölöni;Stade de la Mosson;12532.0;Jérémy Stinat;Montpellier Hérault Sport Club;Football Club de Metz;1
4094772;18/02/2024;1421;826;Will Still;Franck Haise;Stade Auguste-Delaune;20116.0;Benoît Millot;Stade de Reims;Racing Club de Lens;0
4094767;18/02/2024;667;1158;Patrick Vieira;Régis Le Bris;Stade de la Meinau;25103.0;Thomas Léonard;Racing Club de Strasbourg Alsace;Football Club Lorient-Bretagne Sud;-1
4094768;18/02/2024;273;3524;Julien Stéphan;Pascal Gastien;Roazhon Park;27501.0;Romain Lissorgue;Stade Rennais Football Club;Clermont Foot 63;1
4094769;18/02/2024;162;415;Adi Hütter;Carles Martínez;Stade Louis-II;4702.0;Benoît Bastien;Association sportive de Monaco Football Club;Toulouse Football Club;-1
4094775;18/02/2024;3911;244;Éric Roy;Gennaro Gattuso;Stade Francis-Le Blé;14766.0;Ruddy Buquet;Stade brestois 29;Olympique de Marseille;1
4094784;23/02/2024;347;1041;László Bölöni;Pierre Sage;Stade Saint-Symphorien;27560.0;Marc Bollengier;Football Club de Metz;Olympique Lyonnais;-1
4094780;24/02/2024;1158;995;Régis Le Bris;Jocelyn Gourvennec;Stade du Moustoir;16783.0;Willy Delajod;Football Club Lorient-Bretagne Sud;Football Club de Nantes;-1
4094777;24/02/2024;667;3911;Patrick Vieira;Éric Roy;Stade de la Meinau;25140.0;Jérôme Brisard;Racing Club de Strasbourg Alsace;Stade brestois 29;-1
4094782;25/02/2024;826;162;Franck Haise;Adi Hütter;Stade Bollaert-Delelis;37992.0;François Letexier;Racing Club de Lens;Association sportive de Monaco Football Club;-1
4094779;25/02/2024;244;969;Jean-Louis Gasset;Michel Der Zakarian;Orange Vélodrome;61263.0;Jérémie Pignard;Olympique de Marseille;Montpellier Hérault Sport Club;1
4094778;25/02/2024;415;1082;Carles Martínez;Paulo Fonseca;Stadium Municipal;24110.0;Mathieu Vernice;Toulouse Football Club;Lille Olympique Sporting Club Lille Métropole;1
4094783;25/02/2024;738;1421;Luka Elsner;Will Still;Stade Océane;22046.0;Florent Batta;Le Havre Athletic Club;Stade de Reims;-1
4094781;25/02/2024;417;3524;Francesco Farioli;Pascal Gastien;Allianz Riviera;22081.0;Hakim Ben El Hadj;Olympique Gymnaste Club Nice Côte d'Azur;Clermont Foot 63;0
4094776;25/02/2024;583;273;Luis Enrique;Julien Stéphan;Parc des Princes;47874.0;Bastien Dechepy;Paris Saint-Germain Football Club;Stade Rennais Football Club;0
4094787;01/03/2024;162;583;Adi Hütter;Luis Enrique;Stade Louis-II;14700.0;Ruddy Buquet;Association sportive de Monaco Football Club;Paris Saint-Germain Football Club;0
4094790;02/03/2024;1421;1082;Will Still;Paulo Fonseca;Stade Auguste-Delaune;16452.0;Jérémy Stinat;Stade de Reims;Lille Olympique Sporting Club Lille Métropole;-1
4094789;02/03/2024;3524;244;Pascal Gastien;Jean-Louis Gasset;Stade Gabriel-Montpied;;Thomas Léonard;Clermont Foot 63;Olympique de Marseille;-1
